"Keyword","Score"
"p","103.47437","16"
"facebook question","57.81215","1"
"dave talks","55.17993","2"
"question","28.90608","3"
"blinds.com question","28.90608","1"
"ashley","28.57155","1"
"dave","27.58996","2"
"ca","26.73065","1"
"september 1 , 2016","23.39812","1"
"paul","23.02504","1"
"budgeting software","22.39483","1"
"thursday","21.73760","1"
"the day","21.30051","1"
"military benefits","19.91039","1"
"bryn","19.78345","1"
"little time","19.48980","1"
"lake tahoe","18.99389","2"
"colorado springs","17.60168","2"
"college-age son","17.24088","1"
"asks","16.11295","2"
"paying","15.34623","1"
"wonders","14.60299","1"
"everydollar","13.35612","1"
"has","13.14181","1"
"disability insurance","12.97051","1"
"co","12.56620","1"
"september","11.69906","1"
"are","11.38566","2"
"budgeting","11.19741","1"
"retiring","10.65025","1"
"day","10.65025","1"
"teach","10.35259","2"
"talks","10.27792","2"
"reads","10.27792","2"
"emergency fund","9.99085","1"
"benefits","9.95520","1"
"aired","9.89173","1"
"budget","9.78704","1"
"time","9.74490","1"
"tahoe","9.49694","1"
"advice","9.30708","1"
"require","9.16227","1"
"mi","9.10221","1"
"springs","8.80084","1"
"hour","8.74256","1"
"matt","8.74256","1"
"john","8.74256","1"
"son","8.62044","1"
"blinds.com","8.55334","1"
"facebook","8.55334","1"
"software","7.21935","1"
"big debt","7.01119","1"
"lake","6.66445","1"
"insurance","6.48525","1"
"discipline","6.35386","1"
"colorado","6.17591","1"
"little","6.07291","1"
"gone","4.99543","1"
"fund","4.99543","1"
"kalamazoo","4.92018","1"
"11 months","4.92018","1"
"emergency","3.50560","1"
"debt","3.50560","1"
"disability","3.50560","1"
"get","2.46009","1"
"completing","2.46009","1"
"months","2.46009","1"
"things","2.46009","1"
"50,000","0.00000","2"
